Medicine,Symptoms Treated,Dosages,Notes,Amazon_Link,1mg_Link,Apollo_Link,Buying_Link
Fexofenadine,Allergies,180 mg once daily,Non-drowsy; avoid with juice,https://www.amazon.in/s?k=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine,https://www.apollopharmacy.in/search-result?searchText=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine
Ambroxol,Cough (Wet),30 mg three times daily,Max 90 mg/day; expectorant,https://www.amazon.in/s?k=Ambroxol,https://www.1mg.com/search/all?name=Ambroxol,https://www.apollopharmacy.in/search-result?searchText=Ambroxol,https://www.1mg.com/search/all?name=Ambroxol
Chlorhexidine,Sore Throat,10 mL rinse twice daily,Do not swallow; antimicrobial,https://www.amazon.in/s?k=Chlorhexidine,https://www.1mg.com/search/all?name=Chlorhexidine,https://www.apollopharmacy.in/search-result?searchText=Chlorhexidine,https://www.1mg.com/search/all?name=Chlorhexidine
Cyclobenzaprine,Muscle Pain,5-10 mg three times daily,Prescription; max 30 mg/day,https://www.amazon.in/s?k=Cyclobenzaprine,https://www.1mg.com/search/all?name=Cyclobenzaprine,https://www.apollopharmacy.in/search-result?searchText=Cyclobenzaprine,https://www.1mg.com/search/all?name=Cyclobenzaprine
Racecadotril,Diarrhea,100 mg three times daily,Max 300 mg/day; reduces secretions,https://www.amazon.in/s?k=Racecadotril,https://www.1mg.com/search/all?name=Racecadotril,https://www.apollopharmacy.in/search-result?searchText=Racecadotril,https://www.1mg.com/search/all?name=Racecadotril
Phenylephrine,Nasal Congestion,10 mg every 4 hours,Max 60 mg/day; avoid in hypertension,https://www.amazon.in/s?k=Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine,https://www.apollopharmacy.in/search-result?searchText=Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine
Montelukast,Allergies,10 mg once daily,For asthma/allergies; evening dose,https://www.amazon.in/s?k=Montelukast,https://www.1mg.com/search/all?name=Montelukast,https://www.apollopharmacy.in/search-result?searchText=Montelukast,https://www.1mg.com/search/all?name=Montelukast
Hyoscine,Stomach Ache (Cramps),10-20 mg up to 4 times daily,Max 80 mg/day; antispasmodic,https://www.amazon.in/s?k=Hyoscine,https://www.1mg.com/search/all?name=Hyoscine,https://www.apollopharmacy.in/search-result?searchText=Hyoscine,https://www.1mg.com/search/all?name=Hyoscine
Melatonin,Insomnia,1-5 mg at bedtime,Adjust as needed; non-habit forming,https://www.amazon.in/s?k=Melatonin,https://www.1mg.com/search/all?name=Melatonin,https://www.apollopharmacy.in/search-result?searchText=Melatonin,https://www.1mg.com/search/all?name=Melatonin
Bisacodyl,Constipation,5-10 mg at bedtime,Max 30 mg/day; laxative,https://www.amazon.in/s?k=Bisacodyl,https://www.1mg.com/search/all?name=Bisacodyl,https://www.apollopharmacy.in/search-result?searchText=Bisacodyl,https://www.1mg.com/search/all?name=Bisacodyl
Famotidine,Heartburn,20 mg twice daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Famotidine,https://www.1mg.com/search/all?name=Famotidine,https://www.apollopharmacy.in/search-result?searchText=Famotidine,https://www.1mg.com/search/all?name=Famotidine
Meclizine,Nausea,25-50 mg every 24 hours,Max 50 mg/day; motion sickness,https://www.amazon.in/s?k=Meclizine,https://www.1mg.com/search/all?name=Meclizine,https://www.apollopharmacy.in/search-result?searchText=Meclizine,https://www.1mg.com/search/all?name=Meclizine
Sumatriptan,Headache,50-100 mg at onset,Max 200 mg/day; migraine-specific,https://www.amazon.in/s?k=Sumatriptan,https://www.1mg.com/search/all?name=Sumatriptan,https://www.apollopharmacy.in/search-result?searchText=Sumatriptan,https://www.1mg.com/search/all?name=Sumatriptan
Levodropropizine,Cough (Dry),60 mg three times daily,Max 180 mg/day; non-opioid,https://www.amazon.in/s?k=Levodropropizine,https://www.1mg.com/search/all?name=Levodropropizine,https://www.apollopharmacy.in/search-result?searchText=Levodropropizine,https://www.1mg.com/search/all?name=Levodropropizine
Flurbiprofen,Sore Throat,8.75 mg lozenge every 3-6 hours,Max 5/day; anti-inflammatory,https://www.amazon.in/s?k=Flurbiprofen,https://www.1mg.com/search/all?name=Flurbiprofen,https://www.apollopharmacy.in/search-result?searchText=Flurbiprofen,https://www.1mg.com/search/all?name=Flurbiprofen
Methocarbamol,Muscle Pain,1500 mg four times daily,Max 6000 mg/day; muscle relaxant,https://www.amazon.in/s?k=Methocarbamol,https://www.1mg.com/search/all?name=Methocarbamol,https://www.apollopharmacy.in/search-result?searchText=Methocarbamol,https://www.1mg.com/search/all?name=Methocarbamol
Saline Spray,Nasal Congestion,2-3 sprays per nostril as needed,Safe for all ages; hydrates,https://www.amazon.in/s?k=Saline+Spray,https://www.1mg.com/search/all?name=Saline%20Spray,https://www.apollopharmacy.in/search-result?searchText=Saline%20Spray,https://www.1mg.com/search/all?name=Saline+Spray
Desloratadine,Allergies,5 mg once daily,Non-drowsy; take with or without food,https://www.amazon.in/s?k=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine,https://www.apollopharmacy.in/search-result?searchText=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine
Lansoprazole,Stomach Ache,15-30 mg once daily,Max 30 mg/day; for acid reflux,https://www.amazon.in/s?k=Lansoprazole,https://www.1mg.com/search/all?name=Lansoprazole,https://www.apollopharmacy.in/search-result?searchText=Lansoprazole,https://www.1mg.com/search/all?name=Lansoprazole
Attapulgite,Diarrhea,600-1200 mg after each stool,Max 8400 mg/day; absorbent,https://www.amazon.in/s?k=Attapulgite,https://www.1mg.com/search/all?name=Attapulgite,https://www.apollopharmacy.in/search-result?searchText=Attapulgite,https://www.1mg.com/search/all?name=Attapulgite
Zolpidem,Insomnia,5-10 mg at bedtime,Prescription; max 10 mg/day,https://www.amazon.in/s?k=Zolpidem,https://www.1mg.com/search/all?name=Zolpidem,https://www.apollopharmacy.in/search-result?searchText=Zolpidem,https://www.1mg.com/search/all?name=Zolpidem
Psyllium,Constipation,1-2 tbsp daily with water,Max 30 g/day; fiber supplement,https://www.amazon.in/s?k=Psyllium,https://www.1mg.com/search/all?name=Psyllium,https://www.apollopharmacy.in/search-result?searchText=Psyllium,https://www.1mg.com/search/all?name=Psyllium
Esomeprazole,Heartburn,20-40 mg once daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Esomeprazole,https://www.1mg.com/search/all?name=Esomeprazole,https://www.apollopharmacy.in/search-result?searchText=Esomeprazole,https://www.1mg.com/search/all?name=Esomeprazole
Promethazine,Nausea,12.5-25 mg every 4-6 hours,Max 100 mg/day; may cause drowsiness,https://www.amazon.in/s?k=Promethazine,https://www.1mg.com/search/all?name=Promethazine,https://www.apollopharmacy.in/search-result?searchText=Promethazine,https://www.1mg.com/search/all?name=Promethazine
Caffeine + Acetaminophen,Headache,200 mg + 500 mg every 6 hours,Max 4000 mg acetaminophen/day,https://www.amazon.in/s?k=Caffeine+++Acetaminophen,https://www.1mg.com/search/all?name=Caffeine%20+%20Acetaminophen,https://www.apollopharmacy.in/search-result?searchText=Caffeine%20+%20Acetaminophen,https://www.1mg.com/search/all?name=Caffeine+++Acetaminophen
Ketorolac,Fever,10 mg every 6 hours,Prescription; max 40 mg/day,https://www.amazon.in/s?k=Ketorolac,https://www.1mg.com/search/all?name=Ketorolac,https://www.apollopharmacy.in/search-result?searchText=Ketorolac,https://www.1mg.com/search/all?name=Ketorolac
Acetylcysteine,Cough (Wet),600 mg once daily,Max 1200 mg/day; mucus thinner,https://www.amazon.in/s?k=Acetylcysteine,https://www.1mg.com/search/all?name=Acetylcysteine,https://www.apollopharmacy.in/search-result?searchText=Acetylcysteine,https://www.1mg.com/search/all?name=Acetylcysteine
Amoxicillin,Sore Throat,500 mg three times daily,Prescription; for bacterial infection,https://www.amazon.in/s?k=Amoxicillin,https://www.1mg.com/search/all?name=Amoxicillin,https://www.apollopharmacy.in/search-result?searchText=Amoxicillin,https://www.1mg.com/search/all?name=Amoxicillin
Tizanidine,Muscle Pain,2-4 mg three times daily,Max 36 mg/day; muscle relaxant,https://www.amazon.in/s?k=Tizanidine,https://www.1mg.com/search/all?name=Tizanidine,https://www.apollopharmacy.in/search-result?searchText=Tizanidine,https://www.1mg.com/search/all?name=Tizanidine
Xylometazoline,Nasal Congestion,2-3 drops per nostril every 8-12 hours,Max 3 days; decongestant,https://www.amazon.in/s?k=Xylometazoline,https://www.1mg.com/search/all?name=Xylometazoline,https://www.apollopharmacy.in/search-result?searchText=Xylometazoline,https://www.1mg.com/search/all?name=Xylometazoline
Budesonide,Allergies,1-2 sprays per nostril daily,Max 4 sprays/day; nasal steroid,https://www.amazon.in/s?k=Budesonide,https://www.1mg.com/search/all?name=Budesonide,https://www.apollopharmacy.in/search-result?searchText=Budesonide,https://www.1mg.com/search/all?name=Budesonide
Dicyclomine,Stomach Ache,20 mg four times daily,Max 80 mg/day; antispasmodic,https://www.amazon.in/s?k=Dicyclomine,https://www.1mg.com/search/all?name=Dicyclomine,https://www.apollopharmacy.in/search-result?searchText=Dicyclomine,https://www.1mg.com/search/all?name=Dicyclomine
Diphenoxylate,Diarrhea,2.5 mg up to 4 times daily,Prescription; max 20 mg/day,https://www.amazon.in/s?k=Diphenoxylate,https://www.1mg.com/search/all?name=Diphenoxylate,https://www.apollopharmacy.in/search-result?searchText=Diphenoxylate,https://www.1mg.com/search/all?name=Diphenoxylate
Trazodone,Insomnia,25-100 mg at bedtime,Prescription; off-label for sleep,https://www.amazon.in/s?k=Trazodone,https://www.1mg.com/search/all?name=Trazodone,https://www.apollopharmacy.in/search-result?searchText=Trazodone,https://www.1mg.com/search/all?name=Trazodone
Lactulose,Constipation,15-30 mL daily,Max 60 mL/day; osmotic laxative,https://www.amazon.in/s?k=Lactulose,https://www.1mg.com/search/all?name=Lactulose,https://www.apollopharmacy.in/search-result?searchText=Lactulose,https://www.1mg.com/search/all?name=Lactulose
Pantoprazole,Heartburn,40 mg once daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Pantoprazole,https://www.1mg.com/search/all?name=Pantoprazole,https://www.apollopharmacy.in/search-result?searchText=Pantoprazole,https://www.1mg.com/search/all?name=Pantoprazole
Metoclopramide,Nausea,10 mg up to 4 times daily,Max 40 mg/day; prokinetic,https://www.amazon.in/s?k=Metoclopramide,https://www.1mg.com/search/all?name=Metoclopramide,https://www.apollopharmacy.in/search-result?searchText=Metoclopramide,https://www.1mg.com/search/all?name=Metoclopramide
Eletriptan,Headache,20-40 mg at onset,Max 80 mg/day; migraine-specific,https://www.amazon.in/s?k=Eletriptan,https://www.1mg.com/search/all?name=Eletriptan,https://www.apollopharmacy.in/search-result?searchText=Eletriptan,https://www.1mg.com/search/all?name=Eletriptan
Mefenamic Acid,Fever,"500 mg initially, then 250 mg every 6 hours",Max 1500 mg/day,https://www.amazon.in/s?k=Mefenamic+Acid,https://www.1mg.com/search/all?name=Mefenamic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Mefenamic%20Acid,https://www.1mg.com/search/all?name=Mefenamic+Acid
Pholcodine,Cough (Dry),5-10 mg three times daily,Max 60 mg/day; cough suppressant,https://www.amazon.in/s?k=Pholcodine,https://www.1mg.com/search/all?name=Pholcodine,https://www.apollopharmacy.in/search-result?searchText=Pholcodine,https://www.1mg.com/search/all?name=Pholcodine
Strepsils,Sore Throat,1 lozenge every 2-3 hours,Max 8/day; soothing effect,https://www.amazon.in/s?k=Strepsils,https://www.1mg.com/search/all?name=Strepsils,https://www.apollopharmacy.in/search-result?searchText=Strepsils,https://www.1mg.com/search/all?name=Strepsils
Baclofen,Muscle Pain,5-20 mg three times daily,Max 80 mg/day; prescription,https://www.amazon.in/s?k=Baclofen,https://www.1mg.com/search/all?name=Baclofen,https://www.apollopharmacy.in/search-result?searchText=Baclofen,https://www.1mg.com/search/all?name=Baclofen
Ipratropium,Nasal Congestion,2 sprays per nostril 2-3 times daily,Max 6 sprays/day; reduces runny nose,https://www.amazon.in/s?k=Ipratropium,https://www.1mg.com/search/all?name=Ipratropium,https://www.apollopharmacy.in/search-result?searchText=Ipratropium,https://www.1mg.com/search/all?name=Ipratropium
Levocetirizine,Allergies,5 mg once daily,May cause mild drowsiness,https://www.amazon.in/s?k=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine,https://www.apollopharmacy.in/search-result?searchText=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine
Rifaximin,Stomach Ache,200-400 mg three times daily,Prescription; for IBS,https://www.amazon.in/s?k=Rifaximin,https://www.1mg.com/search/all?name=Rifaximin,https://www.apollopharmacy.in/search-result?searchText=Rifaximin,https://www.1mg.com/search/all?name=Rifaximin
Saccharomyces Boulardii,Diarrhea,250-500 mg daily,Probiotic; supports gut health,https://www.amazon.in/s?k=Saccharomyces+Boulardii,https://www.1mg.com/search/all?name=Saccharomyces%20Boulardii,https://www.apollopharmacy.in/search-result?searchText=Saccharomyces%20Boulardii,https://www.1mg.com/search/all?name=Saccharomyces+Boulardii
Eszopiclone,Insomnia,1-3 mg at bedtime,Prescription; max 3 mg/day,https://www.amazon.in/s?k=Eszopiclone,https://www.1mg.com/search/all?name=Eszopiclone,https://www.apollopharmacy.in/search-result?searchText=Eszopiclone,https://www.1mg.com/search/all?name=Eszopiclone
Magnesium Citrate,Constipation,150-300 mL once daily,Max 300 mL/day; saline laxative,https://www.amazon.in/s?k=Magnesium+Citrate,https://www.1mg.com/search/all?name=Magnesium%20Citrate,https://www.apollopharmacy.in/search-result?searchText=Magnesium%20Citrate,https://www.1mg.com/search/all?name=Magnesium+Citrate
Cimetidine,Heartburn,400 mg twice daily,Max 800 mg/day; take with meals,https://www.amazon.in/s?k=Cimetidine,https://www.1mg.com/search/all?name=Cimetidine,https://www.apollopharmacy.in/search-result?searchText=Cimetidine,https://www.1mg.com/search/all?name=Cimetidine
Dimenhydrinate,Nausea,50-100 mg every 4-6 hours,Max 400 mg/day; motion sickness,https://www.amazon.in/s?k=Dimenhydrinate,https://www.1mg.com/search/all?name=Dimenhydrinate,https://www.apollopharmacy.in/search-result?searchText=Dimenhydrinate,https://www.1mg.com/search/all?name=Dimenhydrinate
Naratriptan,Headache,1-2.5 mg at onset,Max 5 mg/day; migraine-specific,https://www.amazon.in/s?k=Naratriptan,https://www.1mg.com/search/all?name=Naratriptan,https://www.apollopharmacy.in/search-result?searchText=Naratriptan,https://www.1mg.com/search/all?name=Naratriptan
Celecoxib,Fever,200 mg once daily,Max 400 mg/day; prescription,https://www.amazon.in/s?k=Celecoxib,https://www.1mg.com/search/all?name=Celecoxib,https://www.apollopharmacy.in/search-result?searchText=Celecoxib,https://www.1mg.com/search/all?name=Celecoxib
Bromhexine,Cough (Wet),8 mg three times daily,Max 24 mg/day; expectorant,https://www.amazon.in/s?k=Bromhexine,https://www.1mg.com/search/all?name=Bromhexine,https://www.apollopharmacy.in/search-result?searchText=Bromhexine,https://www.1mg.com/search/all?name=Bromhexine
Penicillin V,Sore Throat,500 mg twice daily,Prescription; for strep throat,https://www.amazon.in/s?k=Penicillin+V,https://www.1mg.com/search/all?name=Penicillin%20V,https://www.apollopharmacy.in/search-result?searchText=Penicillin%20V,https://www.1mg.com/search/all?name=Penicillin+V
Orphenadrine,Muscle Pain,100 mg twice daily,Max 200 mg/day; muscle relaxant,https://www.amazon.in/s?k=Orphenadrine,https://www.1mg.com/search/all?name=Orphenadrine,https://www.apollopharmacy.in/search-result?searchText=Orphenadrine,https://www.1mg.com/search/all?name=Orphenadrine
Azelastine,Nasal Congestion,1-2 sprays per nostril twice daily,Max 4 sprays/day; antihistamine,https://www.amazon.in/s?k=Azelastine,https://www.1mg.com/search/all?name=Azelastine,https://www.apollopharmacy.in/search-result?searchText=Azelastine,https://www.1mg.com/search/all?name=Azelastine
Cromolyn Sodium,Allergies,2 sprays per nostril 4 times daily,Max 8 sprays/day; mast cell stabilizer,https://www.amazon.in/s?k=Cromolyn+Sodium,https://www.1mg.com/search/all?name=Cromolyn%20Sodium,https://www.apollopharmacy.in/search-result?searchText=Cromolyn%20Sodium,https://www.1mg.com/search/all?name=Cromolyn+Sodium
Trimebutine,Stomach Ache,100-200 mg three times daily,Max 600 mg/day; regulates motility,https://www.amazon.in/s?k=Trimebutine,https://www.1mg.com/search/all?name=Trimebutine,https://www.apollopharmacy.in/search-result?searchText=Trimebutine,https://www.1mg.com/search/all?name=Trimebutine
Kaolin-Pectin,Diarrhea,60-120 mL after each stool,Max 6 doses/day; absorbent,https://www.amazon.in/s?k=Kaolin-Pectin,https://www.1mg.com/search/all?name=Kaolin-Pectin,https://www.apollopharmacy.in/search-result?searchText=Kaolin-Pectin,https://www.1mg.com/search/all?name=Kaolin-Pectin
Ramelteon,Insomnia,8 mg at bedtime,Max 8 mg/day; non-habit forming,https://www.amazon.in/s?k=Ramelteon,https://www.1mg.com/search/all?name=Ramelteon,https://www.apollopharmacy.in/search-result?searchText=Ramelteon,https://www.1mg.com/search/all?name=Ramelteon
Polyethylene Glycol,Constipation,17 g daily in water,Max 34 g/day; osmotic laxative,https://www.amazon.in/s?k=Polyethylene+Glycol,https://www.1mg.com/search/all?name=Polyethylene%20Glycol,https://www.apollopharmacy.in/search-result?searchText=Polyethylene%20Glycol,https://www.1mg.com/search/all?name=Polyethylene+Glycol
Alginic Acid,Heartburn,10-20 mL after meals,Max 80 mL/day; barrier for reflux,https://www.amazon.in/s?k=Alginic+Acid,https://www.1mg.com/search/all?name=Alginic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Alginic%20Acid,https://www.1mg.com/search/all?name=Alginic+Acid
Prochlorperazine,Nausea,5-10 mg 3-4 times daily,Max 40 mg/day; prescription,https://www.amazon.in/s?k=Prochlorperazine,https://www.1mg.com/search/all?name=Prochlorperazine,https://www.apollopharmacy.in/search-result?searchText=Prochlorperazine,https://www.1mg.com/search/all?name=Prochlorperazine
Rizatriptan,Headache,5-10 mg at onset,Max 30 mg/day; migraine-specific,https://www.amazon.in/s?k=Rizatriptan,https://www.1mg.com/search/all?name=Rizatriptan,https://www.apollopharmacy.in/search-result?searchText=Rizatriptan,https://www.1mg.com/search/all?name=Rizatriptan
Indomethacin,Fever,25-50 mg 2-3 times daily,Max 200 mg/day; prescription,https://www.amazon.in/s?k=Indomethacin,https://www.1mg.com/search/all?name=Indomethacin,https://www.apollopharmacy.in/search-result?searchText=Indomethacin,https://www.1mg.com/search/all?name=Indomethacin
Benzoate,Cough (Dry),100-200 mg three times daily,Max 600 mg/day; cough suppressant,https://www.amazon.in/s?k=Benzoate,https://www.1mg.com/search/all?name=Benzoate,https://www.apollopharmacy.in/search-result?searchText=Benzoate,https://www.1mg.com/search/all?name=Benzoate
Lidocaine,Sore Throat,15 mL rinse every 3 hours,Max 6 doses/day; numbs throat,https://www.amazon.in/s?k=Lidocaine,https://www.1mg.com/search/all?name=Lidocaine,https://www.apollopharmacy.in/search-result?searchText=Lidocaine,https://www.1mg.com/search/all?name=Lidocaine
Carisoprodol,Muscle Pain,250-350 mg three times daily,Max 1400 mg/day; prescription,https://www.amazon.in/s?k=Carisoprodol,https://www.1mg.com/search/all?name=Carisoprodol,https://www.apollopharmacy.in/search-result?searchText=Carisoprodol,https://www.1mg.com/search/all?name=Carisoprodol
Menthol Inhaler,Nasal Congestion,Inhale as needed,Safe for frequent use; soothing,https://www.amazon.in/s?k=Menthol+Inhaler,https://www.1mg.com/search/all?name=Menthol%20Inhaler,https://www.apollopharmacy.in/search-result?searchText=Menthol%20Inhaler,https://www.1mg.com/search/all?name=Menthol+Inhaler
Chlorpheniramine,Allergies,4 mg every 4-6 hours,Max 24 mg/day; may cause drowsiness,https://www.amazon.in/s?k=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine,https://www.apollopharmacy.in/search-result?searchText=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine
Peppermint Oil,Stomach Ache,0.2-0.4 mL three times daily,Max 1.2 mL/day; for IBS,https://www.amazon.in/s?k=Peppermint+Oil,https://www.1mg.com/search/all?name=Peppermint%20Oil,https://www.apollopharmacy.in/search-result?searchText=Peppermint%20Oil,https://www.1mg.com/search/all?name=Peppermint+Oil
Acetaminophen,Common Cold|Headache,500-1000 mg every 4-6 hours|500-1000 mg every 4-6 hours,Max 4000 mg/day; relieves fever|Max 4000 mg/day; avoid alcohol,https://www.amazon.in/s?k=Acetaminophen,https://www.1mg.com/search/all?name=Acetaminophen,https://www.apollopharmacy.in/search-result?searchText=Acetaminophen,https://www.1mg.com/search/all?name=Acetaminophen
Pseudoephedrine,Runny Nose|Nasal Congestion,60 mg every 4-6 hours|60 mg every 4-6 hours,Max 240 mg/day; decongestant|Max 240 mg/day; avoid if hypertensive,https://www.amazon.in/s?k=Pseudoephedrine,https://www.1mg.com/search/all?name=Pseudoephedrine,https://www.apollopharmacy.in/search-result?searchText=Pseudoephedrine,https://www.1mg.com/search/all?name=Pseudoephedrine
Loratadine,Runny Nose (Allergic)|Allergies,10 mg once daily|10 mg once daily,Non-drowsy; for allergic rhinitis|Non-drowsy; take on empty stomach,https://www.amazon.in/s?k=Loratadine,https://www.1mg.com/search/all?name=Loratadine,https://www.apollopharmacy.in/search-result?searchText=Loratadine,https://www.1mg.com/search/all?name=Loratadine
